temp,time_of_day,weather,weekend,traffic_volume,traffic_volume_category
mild,morning,clouds,0,5545,very_high_volume
mild,morning,clouds,0,4516,high_volume
mild,morning,clouds,0,4767,high_volume
mild,afternoon,clouds,0,5026,very_high_volume
mild,afternoon,clouds,0,4918,high_volume
mild,afternoon,clear,0,5181,very_high_volume
warm,afternoon,clear,0,5584,very_high_volume
warm,afternoon,clear,0,6015,very_high_volume
warm,afternoon,clouds,0,5791,very_high_volume
warm,evening,clouds,0,4770,high_volume
mild,evening,clouds,0,3539,high_volume
mild,evening,clear,0,2784,medium_volume
mild,evening,clear,0,2361,medium_volume
mild,evening,clear,0,1529,medium_volume
mild,evening,clear,0,963,low_volume
mild,night,clear,0,506,low_volume
mild,night,clear,0,321,low_volume
cool,night,clear,0,273,low_volume
cool,night,clear,0,367,low_volume
cool,night,clear,0,814,low_volume
cool,night,clear,0,2718,medium_volume
cool,morning,clear,0,5673,very_high_volume
cool,morning,clear,0,6511,very_high_volume
cool,morning,clear,0,5471,very_high_volume
mild,afternoon,clear,0,5097,very_high_volume
warm,afternoon,clear,0,4887,high_volume
warm,afternoon,clear,0,5337,very_high_volume
warm,afternoon,clear,0,5692,very_high_volume
warm,afternoon,clear,0,6137,very_high_volume
warm,evening,clouds,0,4623,high_volume
mild,evening,clouds,0,3591,high_volume
mild,evening,clouds,0,2898,medium_volume
mild,evening,clear,0,2637,medium_volume
mild,evening,clear,0,1777,medium_volume
mild,evening,clear,0,1015,low_volume
mild,night,clear,0,598,low_volume
mild,night,clear,0,369,low_volume
mild,night,clear,0,312,low_volume
cool,night,clear,0,367,low_volume
cool,night,clear,0,835,low_volume
cool,night,clear,0,2726,medium_volume
cool,morning,clear,0,5689,very_high_volume
cool,morning,clear,0,6990,very_high_volume
cool,morning,clear,0,5985,very_high_volume
mild,morning,clear,0,5309,very_high_volume
mild,morning,clear,0,4603,high_volume
mild,morning,clear,0,4884,high_volume
warm,afternoon,clear,0,5104,very_high_volume
warm,afternoon,clear,0,5178,very_high_volume
warm,afternoon,clear,0,5501,very_high_volume
warm,afternoon,clear,0,5713,very_high_volume
warm,afternoon,clouds,0,6292,very_high_volume
warm,afternoon,clouds,0,6057,very_high_volume
warm,evening,clouds,0,4907,high_volume
warm,evening,clouds,0,3503,high_volume
mild,evening,clouds,0,3037,medium_volume
mild,evening,clouds,0,2822,medium_volume
mild,evening,clouds,0,1992,medium_volume
mild,evening,clouds,0,1166,low_volume
mild,night,clouds,0,627,low_volume
mild,night,clouds,0,388,low_volume
mild,night,clear,0,368,low_volume
mild,night,clouds,0,2489,medium_volume
cool,morning,clouds,0,5537,very_high_volume
cool,morning,clouds,0,6628,very_high_volume
cool,morning,clouds,0,5534,very_high_volume
cool,morning,clouds,0,5403,very_high_volume
cool,morning,clouds,0,4770,high_volume
cool,morning,clouds,0,5217,very_high_volume
cool,afternoon,clouds,0,5870,very_high_volume
cool,afternoon,clouds,0,5967,very_high_volume
cool,afternoon,clouds,0,6108,very_high_volume
cool,afternoon,clouds,0,6128,very_high_volume
cool,afternoon,clouds,0,6069,very_high_volume
cool,afternoon,clouds,0,6169,very_high_volume
cool,evening,clouds,0,5384,very_high_volume
cool,evening,clouds,0,4063,high_volume
cool,evening,clouds,0,3364,medium_volume
cool,evening,clouds,0,2971,medium_volume
cool,evening,clouds,0,2450,medium_volume
cool,evening,clouds,0,1832,medium_volume
cool,night,clouds,1,1231,medium_volume
cool,night,clouds,1,718,low_volume
cool,night,clouds,1,545,low_volume
cool,night,clouds,1,411,low_volume
cool,night,clouds,1,688,low_volume
cool,morning,clear,1,1352,medium_volume
cool,morning,clear,1,2072,medium_volume
cool,morning,clear,1,3342,medium_volume
cool,morning,clouds,1,4258,high_volume
cool,morning,clouds,1,4861,high_volume
cool,morning,clouds,1,5191,very_high_volume
cool,afternoon,clouds,1,5669,very_high_volume
cool,afternoon,clouds,1,5074,very_high_volume
cool,afternoon,clouds,1,5025,very_high_volume
cool,afternoon,clouds,1,5153,very_high_volume
cool,afternoon,clouds,1,5024,very_high_volume
cool,afternoon,clouds,1,4779,high_volume
cool,evening,clouds,1,4362,high_volume
cool,evening,clouds,1,3860,high_volume
cool,evening,clouds,1,3160,medium_volume
cool,evening,clouds,1,2992,medium_volume
cool,evening,clouds,1,3202,medium_volume
cool,evening,clouds,1,1941,medium_volume
cool,night,clouds,1,1233,medium_volume
cool,night,clouds,1,323,low_volume
cool,night,clouds,1,312,low_volume
cool,night,clouds,1,627,low_volume
cool,morning,clouds,1,1508,medium_volume
cool,morning,clouds,1,1539,medium_volume
cool,morning,clouds,1,2232,medium_volume
cool,morning,clouds,1,4568,high_volume
cool,morning,clouds,1,4624,high_volume
cool,morning,clouds,1,4529,high_volume
cool,afternoon,clouds,1,5139,very_high_volume
cool,afternoon,clouds,1,6640,very_high_volume
cool,afternoon,clouds,1,6589,very_high_volume
cool,afternoon,clouds,1,4429,high_volume
cool,afternoon,clouds,1,4329,high_volume
cool,afternoon,clouds,1,3833,high_volume
cool,evening,clouds,1,4015,high_volume
cool,evening,clouds,1,3382,high_volume
cool,evening,clouds,1,2815,medium_volume
cool,evening,clouds,1,2110,medium_volume
cool,evening,clouds,1,1555,medium_volume
cool,evening,clouds,1,959,low_volume
cool,night,clouds,0,455,low_volume
cold,night,clouds,0,336,low_volume
cold,night,clear,0,265,low_volume
cold,night,clear,0,314,low_volume
cold,night,clear,0,779,low_volume
cold,night,clear,0,2571,medium_volume
cold,morning,clouds,0,5563,very_high_volume
cold,morning,clouds,0,6676,very_high_volume
cold,morning,clouds,0,5966,very_high_volume
cool,morning,clouds,0,4832,high_volume
cool,morning,clouds,0,4395,high_volume
cool,morning,clouds,0,4411,high_volume
cool,afternoon,clear,0,4648,high_volume
cool,afternoon,clouds,0,4602,high_volume
mild,afternoon,clouds,0,5125,very_high_volume
